CUSTOMER_ID,NAME,CITY,SIGNUP_DATE,TARIFF_ID
9711,Süleyman Aslan,KARABÜK,04/08/2025,1
9712,Merve Yıldız,ADIYAMAN,20/06/2025,3
9713,Hacer Kurt,TRABZON,01/06/2025,2
9714,Özlem Çakır,KOCAELİ,16/03/2026,2
9715,Özlem Aslan,KIRŞEHİR,28/09/2025,2
9716,Elif Kılıç,BARTIN,21/11/2025,1
9717,Merve Koç,DÜZCE,05/09/2025,1
9718,Tuğba Özkan,MANİSA,08/12/2025,1
9719,Songül Doğan,AMASYA,03/05/2025,3
9720,Yasemin Koç,MARDİN,17/02/2026,4
9721,Meryem Korkmaz,SİNOP,15/02/2026,1
9722,Aysel Yıldız,GAZİANTEP,07/06/2025,2
9723,Yasemin Polat,MUŞ,14/01/2026,2
9724,Özlem Doğan,TOKAT,06/10/2025,1
9725,Leyla Şahin,ESKİŞEHİR,01/02/2026,3
9726,Sevim Erdoğan,DÜZCE,21/04/2025,4
9727,Esra Şimşek,ADANA,07/09/2025,1
9728,İbrahim Doğan,ANKARA,19/10/2025,3
9729,Ahmet Doğan,KARS,21/01/2026,3
9730,Sultan Acar,AYDIN,25/08/2025,3
9731,Yağmur Şimşek,ANKARA,12/12/2025,1
9732,Aysel Demir,KOCAELİ,05/12/2025,1
9733,Hülya Aydın,BATMAN,28/08/2025,2
9734,Meryem Özdemir,DENİZLİ,14/02/2026,1
9735,Fatih Arslan,SAMSUN,08/02/2026,4
9736,Emine Özcan,MUŞ,28/01/2026,3
9737,Yağmur Öztürk,DÜZCE,18/12/2025,1
9738,Recep Aslan,AĞRI,28/12/2025,1
9739,Serkan Kılıç,KİLİS,06/11/2025,1
9740,İbrahim Acar,AKSARAY,24/07/2025,2
9741,Ayşe Özdemir,KONYA,22/08/2025,2
9742,Özlem Doğan,HAKKARİ,04/08/2025,4
9743,Fatma Çelik,BİNGÖL,10/07/2025,3
9744,İbrahim Erdoğan,KIRKLARELİ,23/02/2026,4
9745,Elif Yıldırım,TEKİRDAĞ,08/03/2026,4
9746,Emine Özcan,BURDUR,31/10/2025,2
9747,Abdullah Şimşek,ORDU,29/08/2025,3
9748,Emre Kılıç,ADANA,27/11/2025,2
9749,Halil Özdemir,AĞRI,29/05/2025,4
9750,Recep Özkan,RİZE,25/04/2025,2
9751,Kübra Demir,GAZİANTEP,20/05/2025,3
9752,Furkan Öztürk,AFYONKARAHİSAR,10/12/2025,1
9753,Yusuf Güneş,TRABZON,15/07/2025,4
9754,Hülya Korkmaz,BARTIN,07/03/2026,4
9755,Sultan Can,KARAMAN,06/06/2025,2
9756,Esra Şimşek,ANTALYA,26/03/2026,4
9757,Ali Koç,İSTANBUL,26/12/2025,4
9758,Rabia Kara,UŞAK,15/09/2025,4
9759,İbrahim Erdoğan,TOKAT,14/09/2025,1
9760,Büşra Yıldırım,SİNOP,31/07/2025,4
9761,Ömer Özdemir,ANTALYA,09/04/2025,3
9762,Ömer Aydın,SAKARYA,08/10/2025,1
9763,Emine Yıldız,KIRIKKALE,08/05/2025,3
9764,Rabia Yılmaz,VAN,25/07/2025,1
9765,Leyla Aslan,KARS,21/08/2025,1
9766,Zehra Güneş,AKSARAY,30/11/2025,3
